id;placed_date;status;code;invoice_id;customer
1;2023-05-12T03:13:45;COMPLETED;Electronics;57858;calculate
2;2023-05-12T01:57:35;CANCELLED;one-to-one Corporate;74608;Steel
3;2023-05-11T17:25:02;CANCELLED;cross-platform Health;12251;real-time
4;2023-05-11T20:11:47;CANCELLED;Hat;10576;Square revolutionize
5;2023-05-12T03:15:16;CANCELLED;implement Implementation;23738;Bike
6;2023-05-11T18:26:37;CANCELLED;Industrial Checking Right-sized;52549;models
7;2023-05-11T18:38:45;PENDING;Implemented;30578;Home
8;2023-05-11T22:37:46;CANCELLED;Handmade Automotive Principal;60178;success Liaison Riel
9;2023-05-12T03:25:32;COMPLETED;National Program;95175;neural hacking
10;2023-05-12T03:18:32;COMPLETED;hack Shirt Walks;57700;full-range back
