id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2023-05-12T03:42:30;Loop;CANCELLED;PAYPAL;2023-05-11T22:02:55;22604
2;calculating;2023-05-12T04:10:53;haptic 1080p;ISSUED;PAYPAL;2023-05-11T15:24:33;10489
3;national Frozen Berkshire;2023-05-12T04:25:43;Account Borders Home;PAID;CREDIT_CARD;2023-05-11T19:08:34;36325
4;monitor;2023-05-11T14:28:19;parse intuitive Division;CANCELLED;PAYPAL;2023-05-11T16:03:20;13687
5;synergy transmitting;2023-05-11T14:30:34;parse Gloves;ISSUED;PAYPAL;2023-05-11T23:07:12;92472
6;function;2023-05-11T19:24:02;Fresh;CANCELLED;CASH_ON_DELIVERY;2023-05-12T06:31:03;26944
7;Maine;2023-05-12T05:50:25;RAM;ISSUED;PAYPAL;2023-05-12T10:52:17;32458
8;Analyst Agent;2023-05-12T09:45:07;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2023-05-12T06:46:49;79389
9;Salad;2023-05-11T15:53:49;Gorgeous;ISSUED;CREDIT_CARD;2023-05-12T00:40:13;62169
10;Pants Wooden Intuitive;2023-05-12T01:17:46;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2023-05-11T21:12:23;58737
