id;date;details;sent_date;format;user_id;product_id
1;2023-05-12T01:30:14;Pants;2023-05-11T14:49:43;EMAIL;3405;81146
2;2023-05-11T17:04:05;port;2023-05-11T17:29:28;SMS;86437;18722
3;2023-05-12T08:12:46;program next-generation;2023-05-12T02:37:53;EMAIL;97870;11395
4;2023-05-11T21:52:17;reboot payment;2023-05-11T20:29:54;SMS;67108;40188
5;2023-05-11T14:05:05;Sports invoice;2023-05-12T09:04:05;SMS;25250;97027
6;2023-05-12T04:10:35;Officer stable Intelligent;2023-05-12T01:27:44;PARCEL;64519;40687
7;2023-05-11T15:15:17;Salad;2023-05-11T19:35:07;SMS;49244;268
8;2023-05-11T23:57:46;parallelism deposit Berkshire;2023-05-11T14:38:13;EMAIL;18345;42331
9;2023-05-11T16:42:38;Usability Jewelery;2023-05-11T23:06:26;SMS;77847;4595
10;2023-05-12T05:29:08;parsing;2023-05-12T11:27:04;EMAIL;31675;99829
